Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230110
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1998;year;    12.53;    12.56;    30.56;    30.11;    25.01;    18.20;    26.87;    26.90;    32.35;    23.40;    29.58;    28.24;    19.04;    12.88;    16.24;    20.62;    24.95;
1999;year;     8.55;     8.62;    37.00;    30.88;    20.61;    13.09;    17.17;    17.13;    26.20;    23.69;    20.59;    31.93;    15.36;     9.92;    13.83;    18.93;    22.13;
2000;year;     9.93;     9.91;    28.72;    29.16;    20.27;    11.23;    15.05;    15.03;    23.46;    27.94;    13.45;    41.27;    17.92;    10.69;    13.24;    16.57;    20.45;
2001;year;    11.86;    11.87;    37.11;    33.99;    22.12;    14.17;    24.64;    24.70;    28.19;    27.08;    22.92;    39.84;    18.58;    13.57;    15.66;    18.39;    25.11;
2002;year;    17.72;    17.74;    41.16;    39.91;    30.98;    19.74;    29.05;    29.04;    33.73;    30.21;    30.30;    36.58;    24.37;    19.80;    23.07;    27.33;    30.73;
2003;year;     8.48;     8.43;    21.17;    20.35;    15.22;     9.68;    15.67;    15.67;    22.88;    17.72;    16.06;    20.89;    11.23;     9.13;    11.06;    13.58;    16.27;
2004;year;    11.91;    11.89;    27.07;    26.27;    20.96;    13.72;    22.28;    22.28;    27.18;    20.34;    24.14;    24.32;    19.53;    13.81;    15.92;    18.67;    21.69;
2005;year;    14.55;    14.54;    27.48;    28.16;    18.59;    14.85;    17.55;    17.61;    23.27;    17.05;    18.74;    20.88;    20.71;    12.60;    14.42;    16.79;    20.72;
2006;year;     6.95;     6.98;    29.96;    28.31;    20.19;    12.16;    14.61;    14.61;    23.13;    21.67;    17.78;    26.93;    15.16;     8.44;    12.64;    18.13;    19.65;
2007;year;    18.96;    18.90;    33.37;    31.71;    27.88;    20.30;    28.69;    28.69;    34.01;    24.18;    28.03;    31.56;    22.00;    21.01;    22.92;    25.41;    27.64;
2008;year;    13.86;    13.90;    28.80;    25.46;    17.86;    12.47;    21.06;    21.05;    23.70;    20.08;    20.93;    24.82;    18.44;    15.16;    15.95;    16.98;    20.91;
