Jahr;Monat,brandenburg/berlin,brandenburg,baden-wuerttemberg,bayern,hessen,mecklenburg-vorpommern,niedersachsen,niedersachsen/hamburg/bremen,nordrhein-westfalen,rheinland-pfalz,schleswig-holstein,saarland,sachsen,sachsen-anhalt,thueringen/sachsen-anhalt,thueringen,deutschland
193212,0.90,0.89,0.30,-0.98,0.10,1.62,2.37,2.38,2.69,0.29,2.53,0.53,0.27,1.27,0.72,0.03,0.82
193312,-3.74,-3.76,-5.06,-5.53,-3.90,-2.50,-2.68,-2.66,-2.89,-3.64,-0.67,-3.36,-4.57,-4.17,-4.70,-5.37,-3.93
193412,4.20,4.19,4.48,4.00,5.32,3.96,5.46,5.45,6.59,5.62,4.89,5.67,4.68,4.65,4.51,4.34,4.81
193512,0.71,0.70,-0.68,-1.28,0.36,1.12,1.68,1.68,1.78,1.05,1.64,0.91,-0.05,0.81,0.23,-0.50,0.39
193612,1.75,1.75,1.05,0.08,1.26,2.00,2.74,2.75,2.55,1.58,2.93,1.66,1.40,1.86,1.44,0.90,1.54
193712,-0.84,-0.84,-0.72,-1.47,-0.36,-0.64,0.29,0.29,0.61,0.12,0.11,0.35,-0.62,-0.39,-0.57,-0.81,-0.48
193812,-1.55,-1.56,-2.48,-3.17,-2.33,-1.29,-1.07,-1.07,-0.66,-1.62,-0.32,-1.38,-2.32,-1.89,-2.42,-3.09,-1.92
193912,-1.57,-1.58,-1.72,-3.09,-1.51,-1.19,-0.60,-0.60,0.00,-0.72,-0.50,-0.59,-2.47,-1.53,-1.95,-2.47,-1.56
194012,-2.35,-2.37,-4.24,-5.24,-2.88,-1.41,-0.91,-0.90,-1.03,-2.31,-0.26,-2.21,-3.98,-2.32,-2.96,-3.78,-2.81
194112,1.86,1.85,0.44,-0.49,1.40,2.54,3.19,3.20,3.04,1.95,3.32,1.80,0.76,2.11,1.52,0.78,1.54
194212,2.54,2.53,1.02,0.23,1.57,2.80,3.68,3.68,3.70,1.99,3.51,2.22,1.77,2.63,2.07,1.37,2.07
194312,0.08,0.07,0.14,-0.80,0.04,0.74,1.00,1.01,1.04,0.42,1.54,0.53,-0.81,0.17,-0.23,-0.73,0.18
194412,-1.13,-1.13,-0.73,-1.84,0.00,-0.47,0.91,0.91,1.64,0.57,0.63,0.82,-1.18,-0.49,-0.74,-1.06,-0.36
194512,1.45,1.45,0.78,-0.29,1.25,1.80,2.31,2.31,2.51,1.85,2.42,2.01,0.79,1.53,1.02,0.37,1.26
194612,-2.30,-2.30,-2.35,-3.28,-2.56,-2.06,-1.55,-1.54,-1.12,-2.00,-0.86,-1.79,-3.22,-2.71,-3.03,-3.43,-2.32
194712,1.65,1.64,0.69,-0.05,1.61,1.96,2.57,2.57,2.73,1.96,2.71,2.00,0.57,1.73,1.24,0.63,1.43
194812,1.39,1.38,-0.40,-1.61,0.37,1.72,2.78,2.78,2.99,0.86,2.69,1.61,0.43,2.09,1.22,0.13,0.88
194912,3.61,3.61,2.61,1.89,2.64,3.49,3.78,3.79,3.59,2.94,3.95,3.05,2.86,3.56,3.04,2.38,3.00
195012,-1.29,-1.30,-2.72,-2.97,-2.49,-0.76,-1.13,-1.12,-1.61,-2.28,-0.30,-2.28,-2.26,-1.78,-2.23,-2.79,-1.98
195112,3.55,3.54,0.98,0.29,1.78,3.97,4.12,4.13,3.80,2.02,4.67,2.25,2.48,3.69,2.89,1.87,2.50
195212,-0.68,-0.69,-0.75,-1.84,-0.36,-0.34,0.36,0.37,0.66,0.11,0.50,0.28,-1.11,-0.34,-0.73,-1.21,-0.53
195312,2.01,2.01,1.90,0.78,2.78,2.02,3.91,3.90,4.55,3.03,3.39,3.40,2.22,3.18,2.83,2.40,2.52
195412,3.61,3.60,2.67,1.83,3.15,3.63,4.24,4.24,4.44,3.50,4.06,3.59,2.82,3.77,3.24,2.59,3.24
195512,2.60,2.59,2.81,1.61,2.28,2.50,3.47,3.47,3.79,2.83,2.84,3.09,1.80,2.86,2.30,1.61,2.59
195612,2.05,2.05,1.00,-0.16,2.14,2.44,3.63,3.63,4.22,2.68,3.49,2.98,1.22,2.48,1.96,1.31,2.01
195712,0.32,0.32,0.09,-0.59,0.34,1.06,1.43,1.44,1.83,0.82,1.63,1.31,-0.22,0.59,0.24,-0.21,0.52
195812,2.43,2.43,1.95,0.89,2.61,2.45,3.62,3.62,3.83,2.86,3.30,3.23,2.10,2.99,2.57,2.03,2.45
195912,1.34,1.34,2.32,1.50,2.68,1.39,2.75,2.75,3.68,3.14,2.61,3.30,1.37,1.83,1.65,1.44,2.17
196012,2.15,2.14,0.36,-0.28,0.82,2.30,2.04,2.05,2.03,1.01,2.33,1.11,1.22,1.50,0.90,0.16,1.15
196112,-1.70,-1.71,0.45,-1.54,-0.20,-1.37,-0.18,-0.18,1.07,0.67,-0.40,1.23,-1.83,-1.04,-1.24,-1.49,-0.62
196212,-3.25,-3.26,-3.86,-5.45,-3.53,-2.32,-2.20,-2.19,-1.52,-2.35,-1.47,-1.81,-4.13,-3.07,-3.58,-4.22,-3.34
196312,-3.04,-3.05,-3.59,-4.67,-3.43,-2.02,-2.04,-2.03,-1.83,-2.93,-1.22,-2.66,-3.82,-3.03,-3.54,-4.17,-3.13
196412,1.03,1.03,-0.34,-1.41,0.45,1.17,1.57,1.57,1.79,0.68,1.33,0.75,0.11,1.11,0.53,-0.20,0.42
196512,2.50,2.49,2.91,2.02,2.88,1.77,3.06,3.06,3.66,3.35,2.13,3.50,2.46,2.83,2.50,2.08,2.64
196612,2.23,2.22,1.67,0.65,2.13,2.09,2.84,2.85,3.12,2.59,2.49,2.78,1.50,2.36,1.84,1.19,1.97
