Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230110
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1983;year;    54.11;    54.07;    50.42;    50.23;    49.15;    34.29;    42.94;    42.91;    47.16;    51.35;    32.61;    54.24;    48.75;    51.95;    48.84;    44.77;    47.30;
1984;year;    22.04;    21.91;    21.67;    17.38;    18.46;    13.23;    15.84;    15.83;    17.59;    20.90;    11.32;    22.41;    18.30;    21.20;    18.75;    15.55;    17.97;
1985;year;    30.53;    30.42;    34.42;    30.81;    20.81;    15.63;    16.40;    16.37;    19.52;    24.53;    10.36;    27.71;    29.00;    27.84;    25.00;    21.30;    24.59;
1986;year;    39.61;    39.53;    37.93;    38.22;    33.39;    22.37;    26.16;    26.11;    30.91;    35.00;    17.63;    35.66;    34.73;    36.89;    33.92;    30.05;    32.94;
1987;year;    17.25;    17.24;    29.73;    27.49;    18.73;    10.09;    12.25;    12.19;    17.13;    21.68;     6.86;    24.60;    18.48;    17.63;    16.87;    15.88;    19.34;
1988;year;    31.23;    31.20;    29.14;    27.76;    25.81;    16.69;    16.09;    15.98;    18.58;    24.60;     6.81;    24.17;    29.43;    29.69;    27.44;    24.51;    23.83;
1989;year;    47.28;    47.22;    37.91;    30.40;    37.17;    30.98;    34.10;    34.02;    40.11;    40.58;    24.10;    44.09;    36.31;    45.07;    39.02;    31.13;    36.04;
1990;year;    33.82;    33.78;    35.93;    33.10;    33.89;    20.57;    25.98;    25.89;    32.73;    35.71;    14.95;    37.72;    33.95;    34.25;    32.41;    30.00;    31.03;
1991;year;    38.54;    38.48;    43.72;    34.68;    36.54;    20.52;    24.98;    24.91;    28.47;    42.39;    15.81;    47.32;    34.84;    37.17;    34.82;    31.76;    32.93;
1992;year;    63.71;    63.68;    44.15;    42.99;    41.55;    36.28;    41.26;    41.22;    41.10;    41.62;    26.39;    41.38;    52.88;    56.18;    49.75;    41.35;    44.33;
1993;year;    35.81;    35.81;    34.60;    34.39;    32.11;    15.63;    19.48;    19.43;    23.46;    33.50;     8.95;    35.20;    32.90;    32.94;    30.89;    28.21;    28.53;
1994;year;    42.60;    42.62;    47.07;    47.83;    42.63;    31.07;    34.22;    34.20;    38.28;    43.76;    27.87;    46.32;    41.74;    43.57;    41.91;    39.75;    41.13;
1995;year;    53.62;    53.59;    39.16;    39.22;    45.58;    33.83;    43.62;    43.59;    47.64;    47.00;    32.79;    49.50;    47.29;    53.02;    48.03;    41.51;    43.41;
1996;year;    28.02;    28.01;    26.52;    25.89;    23.92;    20.18;    21.27;    21.27;    21.16;    28.71;    18.93;    33.84;    24.47;    28.30;    25.89;    22.74;    24.42;
1997;year;    55.31;    55.18;    40.50;    40.02;    38.84;    33.95;    35.34;    35.38;    33.28;    41.03;    31.60;    44.91;    40.09;    51.44;    44.57;    35.60;    39.84;
1998;year;    28.82;    28.83;    35.19;    36.16;    28.16;    13.50;    18.33;    18.25;    22.54;    30.15;     9.06;    30.02;    30.16;    29.63;    28.56;    27.17;    27.12;
1999;year;    50.84;    50.74;    38.36;    36.88;    41.96;    34.19;    39.94;    39.94;    42.63;    42.60;    27.81;    43.47;    38.22;    48.07;    42.18;    34.49;    39.89;
2000;year;    41.07;    41.02;    41.16;    39.72;    32.46;    19.10;    21.16;    21.09;    25.94;    32.15;    13.18;    32.65;    38.66;    37.00;    34.17;    30.47;    32.13;
2001;year;    35.76;    35.73;    41.51;    39.41;    38.89;    23.63;    28.04;    28.00;    35.05;    40.29;    18.76;    39.74;    32.47;    34.96;    33.43;    31.44;    34.47;
2002;year;    51.27;    51.14;    36.12;    37.86;    32.07;    34.95;    29.58;    29.64;    26.93;    31.45;    26.95;    32.03;    41.61;    42.10;    38.11;    32.91;    35.49;
2003;year;    63.32;    63.25;    79.66;    75.87;    66.10;    41.49;    47.95;    47.92;    53.26;    69.55;    35.88;    77.34;    61.46;    62.39;    60.91;    58.97;    62.07;
2004;year;    32.50;    32.43;    39.24;    36.01;    33.90;    18.04;    25.70;    25.64;    29.94;    35.69;    16.56;    37.13;    30.33;    32.30;    30.64;    28.48;    31.06;
2005;year;    44.76;    44.67;    43.52;    39.99;    43.56;    29.72;    33.17;    33.12;    39.47;    44.89;    25.19;    49.33;    39.43;    45.66;    42.52;    38.43;    39.25;
2006;year;    62.02;    61.92;    51.09;    47.49;    50.41;    44.07;    51.21;    51.14;    52.06;    50.40;    38.78;    52.29;    50.38;    60.41;    55.18;    48.35;    50.73;
2007;year;    43.21;    43.17;    40.29;    39.10;    33.34;    23.03;    25.94;    25.87;    27.72;    35.39;    14.17;    34.92;    41.43;    40.83;    36.75;    31.43;    33.87;
2008;year;    40.73;    40.64;    38.31;    41.45;    34.46;    23.72;    27.66;    27.66;    27.11;    34.30;    17.32;    32.34;    36.82;    38.11;    36.59;    34.60;    34.02;
2009;year;    45.65;    45.59;    40.87;    38.20;    34.35;    31.18;    32.65;    32.51;    34.04;    37.23;    18.01;    37.03;    36.46;    44.18;    39.56;    33.53;    36.36;
2010;year;    44.02;    43.97;    37.22;    35.78;    36.59;    30.32;    31.32;    31.26;    34.74;    37.77;    20.51;    39.53;    35.68;    40.58;    37.09;    32.54;    35.22;
2011;year;    43.49;    43.44;    48.11;    42.96;    42.37;    23.37;    30.49;    30.37;    34.55;    41.64;    15.30;    39.98;    41.93;    46.00;    43.08;    39.28;    38.37;
2012;year;    39.65;    39.70;    45.89;    46.36;    36.57;    22.45;    29.31;    29.21;    31.07;    36.98;    13.80;    37.69;    41.44;    41.41;    38.79;    35.36;    36.80;
2013;year;    45.77;    45.73;    43.92;    41.47;    40.05;    26.36;    31.16;    31.10;    35.34;    39.53;    21.74;    42.12;    38.73;    44.40;    40.54;    35.50;    37.83;
2014;year;    45.52;    45.45;    34.94;    34.22;    33.00;    30.87;    32.73;    32.76;    29.76;    31.31;    29.11;    34.22;    36.78;    38.55;    34.83;    29.97;    34.15;
2015;year;    50.23;    50.20;    52.90;    53.80;    46.10;    29.40;    30.80;    30.67;    35.60;    46.60;    17.10;    52.30;    48.10;    46.70;    45.53;    44.00;    43.30;
2016;year;    59.07;    58.96;    50.90;    48.83;    45.05;    35.90;    38.52;    38.43;    38.41;    44.03;    25.14;    46.71;    49.48;    57.58;    51.13;    42.71;    45.41;
2017;year;    40.15;    40.11;    54.22;    51.63;    41.47;    19.16;    24.60;    24.46;    34.19;    43.77;    10.55;    47.57;    43.65;    41.51;    40.08;    38.22;    39.01;
2018;year;    86.06;    86.06;    79.71;    75.36;    79.81;    58.58;    70.34;    70.27;    75.85;    77.46;    46.27;    83.43;    76.53;    87.60;    80.34;    70.86;    74.72;
2019;year;    66.31;    66.24;    55.40;    55.45;    52.92;    41.89;    43.51;    43.39;    48.71;    54.01;    25.93;    58.76;    59.52;    63.42;    58.88;    52.95;    52.29;
2020;year;    53.04;    52.99;    55.00;    46.21;    49.99;    33.31;    36.30;    36.26;    41.89;    55.44;    26.41;    62.76;    48.87;    52.06;    47.69;    41.99;    45.37;
2021;year;    50.60;    50.55;    38.14;    38.87;    35.45;    34.35;    33.10;    33.09;    30.99;    32.72;    22.56;    38.47;    41.11;    46.67;    41.12;    33.87;    37.06;
2022;year;    61.50;    61.36;    72.61;    64.37;    67.35;    38.69;    48.07;    47.91;    55.69;    70.14;    30.24;    80.36;    57.26;    66.23;    63.29;    59.45;    58.89;
