Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230702
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1962;01;    48.8;    48.9;    53.0;    55.7;    43.1;    37.3;    36.4;    36.3;    37.8;    52.6;    41.4;    53.0;    55.1;    49.2;    48.7;    48.1;    47.0;
1963;01;    76.0;    76.0;    66.9;    60.5;    61.1;    89.8;    74.8;    75.0;    63.7;    63.0;    96.7;    70.1;    51.3;    56.4;    55.2;    53.8;    67.5;
1964;01;    59.1;    59.1;    65.9;    77.3;    48.5;    47.3;    39.5;    39.4;    49.8;    45.2;    41.7;    43.4;    73.5;    51.6;    58.2;    66.6;    57.5;
1965;01;    28.2;    28.2;    34.2;    31.5;    27.8;    23.7;    22.9;    22.8;    25.1;    32.3;    26.3;    25.2;    32.0;    28.8;    28.0;    27.1;    28.4;
1966;01;    19.3;    19.4;    64.2;    62.4;    40.5;    21.1;    33.3;    33.3;    49.3;    52.8;    29.9;    65.8;    43.5;    26.7;    33.7;    42.6;    43.9;
1967;01;    37.7;    37.7;    49.9;    45.9;    36.9;    27.6;    32.0;    32.0;    31.3;    44.8;    30.6;    53.2;    44.2;    36.3;    34.9;    33.0;    38.7;
1968;01;    33.4;    33.6;    52.9;    44.6;    29.5;    45.3;    39.1;    39.3;    33.6;    40.8;    47.8;    49.7;    40.2;    41.6;    39.9;    37.6;    41.1;
1969;01;    26.7;    26.8;    42.3;    40.2;    19.2;    20.9;    24.2;    24.2;    28.4;    24.5;    20.2;    21.2;    41.4;    29.2;    29.1;    29.0;    30.6;
1970;01;    42.9;    42.9;    38.8;    40.7;    19.0;    40.0;    34.7;    34.7;    37.5;    23.5;    33.7;    27.2;    40.2;    28.4;    28.4;    28.6;    35.6;
1971;01;    76.4;    76.5;    71.9;    83.4;    48.6;    60.9;    50.3;    50.2;    52.9;    47.3;    49.1;    52.4;   100.3;    74.2;    76.9;    80.3;    67.2;
1972;01;    47.0;    47.1;    42.3;    54.5;    40.3;    48.3;    48.5;    48.6;    54.4;    45.4;    54.0;    50.2;    58.4;    46.0;    47.0;    48.2;    49.5;
1973;01;    23.7;    23.8;    38.6;    40.6;    31.3;    21.8;    25.2;    25.2;    31.3;    39.3;    25.8;    43.8;    40.9;    32.4;    34.9;    38.0;    33.0;
1974;01;    40.3;    40.4;    38.5;    39.0;    26.2;    26.1;    28.9;    28.8;    32.6;    31.2;    20.2;    26.9;    45.6;    36.9;    35.7;    34.2;    34.2;
1975;01;    48.4;    48.3;    55.6;    57.3;    38.9;    56.5;    44.4;    44.5;    47.7;    43.0;    44.5;    38.0;    48.2;    49.2;    46.3;    42.7;    49.5;
1976;01;    47.9;    47.8;    32.0;    36.1;    31.2;    54.9;    35.0;    35.1;    36.4;    35.9;    41.6;    36.1;    36.5;    37.2;    35.0;    32.3;    37.7;
1977;01;    17.9;    17.9;    25.3;    28.0;    20.1;    19.4;    21.2;    21.3;    28.9;    27.9;    20.2;    23.8;    23.9;    23.8;    22.8;    21.5;    23.9;
1978;01;    34.8;    34.7;    41.7;    43.4;    32.6;    33.6;    33.2;    33.1;    43.4;    36.0;    30.2;    31.1;    30.4;    31.6;    31.9;    32.3;    36.9;
1979;01;    33.7;    33.7;    52.5;    52.9;    41.6;    31.5;    30.0;    30.1;    39.3;    50.2;    31.3;    35.8;    42.8;    38.1;    41.9;    46.6;    41.9;
1980;01;    46.8;    46.8;    37.7;    42.7;    42.2;    43.5;    44.6;    44.7;    50.7;    43.2;    39.4;    43.8;    47.1;    44.3;    45.3;    46.5;    44.0;
1981;01;    44.3;    44.3;    60.3;    53.4;    51.3;    47.8;    42.6;    42.7;    37.4;    53.3;    44.5;    62.4;    49.4;    51.8;    54.0;    56.9;    49.4;
1982;01;    57.7;    57.7;    50.1;    55.4;    53.6;    52.6;    59.6;    59.5;    70.6;    53.7;    43.5;    47.8;    70.7;    59.8;    63.1;    67.3;    57.7;
1983;01;    30.9;    31.0;    45.1;    44.6;    24.9;    30.1;    27.2;    27.1;    32.7;    30.3;    23.5;    21.9;    34.9;    37.5;    35.4;    32.6;    34.6;
1984;01;    38.2;    38.3;    32.4;    44.2;    21.1;    43.5;    35.5;    35.5;    33.1;    26.5;    39.3;    19.5;    47.4;    36.9;    34.1;    30.6;    36.6;
1985;01;    39.6;    39.5;    44.0;    45.1;    33.9;    41.5;    36.3;    36.5;    34.8;    34.9;    47.8;    31.9;    34.8;    37.0;    39.0;    41.6;    39.8;
1986;01;    35.5;    35.6;    35.3;    31.7;    24.0;    37.4;    34.5;    34.7;    30.2;    29.3;    43.3;    23.6;    35.3;    32.7;    30.8;    28.3;    33.0;
1987;01;    53.2;    53.2;    46.3;    44.8;    46.6;    54.7;    45.2;    45.4;    41.5;    50.7;    55.8;    52.3;    42.5;    41.8;    42.7;    43.7;    46.7;
1988;01;    47.0;    47.0;    49.4;    46.6;    29.7;    26.2;    30.5;    30.4;    37.6;    34.8;    25.2;    26.2;    55.0;    45.4;    41.8;    37.3;    39.8;
1989;01;    61.8;    61.8;    76.5;    58.4;    43.4;    44.3;    56.8;    56.5;    71.1;    47.4;    41.4;    45.4;    95.6;    77.1;    76.3;    75.3;    62.1;
1990;01;    39.4;    39.6;    74.1;    65.7;    20.4;    27.6;    26.2;    26.1;    30.2;    25.9;    18.1;    17.6;    51.9;    36.4;    31.9;    26.3;    41.6;
1991;01;    71.2;    71.1;    58.5;    75.7;    59.2;    75.2;    67.3;    67.4;    70.4;    63.5;    68.1;    62.0;    72.8;    67.1;    65.7;    64.0;    68.7;
1992;01;    42.5;    42.4;    65.2;    53.3;    43.7;    51.3;    40.5;    40.6;    50.8;    46.7;    47.3;    49.5;    48.0;    44.5;    43.3;    41.9;    49.0;
1993;01;    73.6;    73.4;    58.4;    67.0;    47.4;    74.7;    57.0;    57.0;    54.1;    43.4;    59.3;    38.5;    73.4;    67.8;    62.6;    56.0;    61.5;
1994;01;    26.9;    26.9;    44.0;    39.2;    26.3;    32.2;    28.1;    28.2;    27.7;    34.8;    39.5;    32.3;    31.5;    30.9;    28.6;    25.7;    33.1;
1995;01;    50.0;    49.9;    56.7;    49.1;    37.5;    48.9;    57.4;    57.4;    52.1;    45.0;    56.0;    49.0;    44.1;    60.4;    52.1;    41.6;    50.8;
1996;01;    60.0;    60.0;    52.4;    47.7;    53.3;    52.4;    77.6;    77.6;    83.5;    45.9;    59.9;    39.9;    74.4;    65.2;    63.3;    60.7;    60.7;
1997;01;    66.6;    66.5;    50.0;    43.8;    42.8;    72.1;    61.4;    61.5;    63.5;    43.8;    63.2;    53.6;    63.9;    61.7;    57.8;    52.8;    55.9;
1998;01;    64.4;    64.3;    69.2;    74.8;    54.3;    66.3;    59.1;    59.1;    58.3;    54.0;    60.0;    53.5;    69.1;    64.6;    64.1;    63.4;    64.5;
1999;01;    57.5;    57.4;    79.5;    70.0;    45.7;    40.6;    40.4;    40.3;    42.1;    52.9;    39.0;    56.6;    68.7;    52.9;    55.1;    58.0;    55.9;
2000;01;    64.2;    64.1;    61.8;    55.0;    34.9;    65.6;    50.6;    50.6;    38.5;    45.2;    55.1;    52.1;    57.0;    66.2;    58.8;    49.6;    53.8;
2001;01;    50.2;    50.0;    68.1;    69.4;    54.6;    39.8;    37.6;    37.3;    58.3;    60.5;    26.9;    62.8;    60.8;    54.0;    54.8;    55.8;    55.1;
2002;01;    64.2;    64.0;    79.0;    71.3;    48.5;    39.0;    46.3;    46.2;    62.4;    56.0;    35.2;    52.8;    92.9;    69.6;    72.0;    75.1;    62.4;
2003;01;    40.3;    40.3;    53.6;    49.4;    46.4;    29.7;    35.3;    35.1;    45.8;    52.8;    25.2;    54.5;    45.0;    45.6;    44.2;    42.5;    43.8;
2004;01;    50.7;    50.5;    39.9;    39.3;    21.0;    39.1;    22.8;    22.8;    23.2;    29.4;    18.8;    29.7;    46.4;    39.0;    36.3;    33.0;    34.0;
2005;01;    43.4;    43.6;    77.2;    67.5;    52.6;    47.8;    47.8;    47.9;    57.0;    62.7;    53.2;    59.7;    40.8;    49.4;    49.5;    49.6;    56.5;
2006;01;    95.1;    95.0;    98.1;    89.8;    88.6;    75.6;    75.1;    74.8;    94.2;    84.5;    54.8;    85.1;   103.7;    95.9;    95.1;    94.0;    87.9;
2007;01;    44.6;    44.7;    47.2;    42.8;    31.4;    40.0;    36.2;    36.1;    34.5;    36.0;    33.8;    32.0;    44.2;    45.7;    42.4;    38.1;    40.0;
2008;01;    49.2;    49.2;    76.8;    73.2;    42.0;    34.2;    30.0;    29.8;    41.1;    43.9;    24.6;    40.0;    61.5;    52.4;    53.4;    54.6;    51.6;
2009;01;    60.9;    60.8;    95.5;    87.6;    86.6;    60.3;    60.6;    60.6;    90.6;    87.9;    56.3;    93.6;    73.3;    64.6;    69.8;    76.3;    77.0;
2010;01;    27.2;    27.2;    34.5;    27.7;    21.1;    29.7;    20.7;    20.8;    28.1;    22.8;    31.3;    21.8;    31.5;    23.4;    22.8;    22.0;    26.7;
2011;01;    48.5;    48.6;    54.6;    52.6;    44.1;    39.1;    41.5;    41.5;    47.0;    49.5;    43.8;    54.2;    58.3;    51.7;    51.5;    51.2;    48.7;
2012;01;    51.9;    51.9;    56.3;    58.1;    50.8;    61.0;    50.9;    50.9;    51.4;    49.1;    59.1;    45.8;    46.9;    50.4;    50.2;    49.9;    53.6;
2013;01;    20.2;    20.3;    28.5;    24.8;    16.3;    21.3;    23.4;    23.4;    18.0;    16.7;    23.6;    16.9;    21.5;    23.8;    21.8;    19.3;    22.2;
2014;01;    41.9;    41.9;    56.3;    46.5;    46.1;    35.4;    45.2;    45.0;    62.7;    54.0;    29.0;    50.8;    47.9;    41.3;    41.2;    41.0;    46.9;
2015;01;    29.8;    29.9;    40.9;    39.0;    27.5;    33.9;    33.3;    33.3;    35.7;    33.3;    35.4;    27.2;    34.3;    39.2;    36.5;    32.9;    35.3;
2016;01;    49.6;    49.6;    57.0;    51.1;    43.2;    46.7;    44.8;    44.5;    52.6;    45.2;    35.2;    43.7;    51.4;    54.5;    54.5;    54.5;    49.4;
2017;01;    59.1;    59.1;    82.9;    87.8;    80.2;    53.7;    59.7;    59.7;    78.8;    78.5;    57.6;    74.4;    73.3;    63.1;    69.8;    78.5;    73.0;
2018;01;    31.6;    31.6;    41.0;    43.4;    23.6;    29.3;    29.4;    29.4;    23.7;    26.7;    35.0;    21.9;    33.1;    36.0;    32.4;    27.8;    33.2;
2019;01;    47.0;    46.9;    32.6;    43.1;    39.2;    42.2;    47.4;    47.4;    44.3;    39.9;    47.9;    39.1;    49.7;    54.7;    52.1;    48.7;    44.0;
2020;01;    64.6;    64.5;    88.0;    77.9;    47.0;    41.4;    38.4;    38.3;    42.9;    51.6;    29.6;    51.8;    66.8;    64.8;    64.1;    63.1;    59.2;
2021;01;    25.3;    25.4;    37.4;    38.7;    16.7;    22.7;    31.1;    31.2;    22.6;    25.9;    35.5;    34.5;    31.8;    28.6;    26.0;    22.5;    30.0;
2022;01;    39.6;    39.7;    74.6;    49.0;    27.7;    42.6;    27.8;    27.8;    30.7;    46.4;    41.4;    58.9;    33.9;    30.4;    28.4;    25.7;    41.2;
2023;01;    28.5;    28.5;    35.2;    40.2;    24.0;    26.6;    32.4;    32.5;    25.3;    28.9;    38.8;    22.5;    31.4;    32.3;    31.3;    30.0;    32.2;
